# Gene-Names	Median-Attributions	Corrected P-values (FDR <= 1%)
ENSG00000177595	0.00033380305378255244	3.477653571137259e-80
ENSG00000136935	0.00030927147257217845	9.033552017857176e-80
ENSG00000147421	0.00021532738590741683	1.2983363947222138e-79
ENSG00000089199	-0.00028425697626210234	2.093004053853901e-79
ENSG00000180190	0.000366706129068252	1.268664683978082e-78
ENSG00000090905	0.00010100473630929537	1.5080648745647398e-78
ENSG00000241644	6.714690714811022e-05	3.579021655039454e-78
ENSG00000140853	0.000257597208032944	4.850998929853317e-78
ENSG00000178623	0.0005922276567286338	7.732931469418281e-78
ENSG00000115020	7.054652790045712e-05	8.298880652538614e-78
ENSG00000146411	-0.00019914899642525303	1.0140075453557604e-77
ENSG00000104093	0.00016900640737704285	1.0313128868331803e-77
ENSG00000185246	0.0003700964205639315	2.5516150434092238e-77
ENSG00000049618	-0.00022017833020081788	3.0411862855421886e-77
ENSG00000074755	-2.8097469863639918e-05	4.668491623846682e-77
ENSG00000204262	0.0006437134650136069	5.700130443206402e-77
ENSG00000154229	0.00043095053721007616	5.756432620348461e-77
ENSG00000197535	1.8966735265571458e-05	5.756432620348461e-77
ENSG00000179630	0.00016858347539274785	5.990940981993849e-77
ENSG00000159579	0.0005103967081631154	6.030150342520659e-77
ENSG00000165688	0.0004015265760889657	1.5487704675745435e-76
ENSG00000163923	-1.2828558724036225e-06	1.7014138460805948e-76
ENSG00000159217	-0.0001778074633411042	1.8363665219870657e-76
ENSG00000119596	-0.0003128050757492762	2.4413216580563223e-76
ENSG00000132300	0.00040847145207675427	3.724538695370742e-76
ENSG00000100350	-0.00027356410265890797	3.7610889366808104e-76
ENSG00000182870	0.00039626912630838127	3.9714083140082195e-76
ENSG00000144815	-0.00015119681061172106	4.275843561234159e-76
ENSG00000106479	0.0003511599953553313	5.4325074921531065e-76
ENSG00000116329	0.00027472274646392597	1.282423437571676e-75
ENSG00000120733	-0.0002041914489396268	1.4882573296197034e-75
ENSG00000135090	0.00014295884155937608	1.5102069260553594e-75
ENSG00000169122	0.00020824316621588014	1.571923212913988e-75
ENSG00000116729	0.00032465324045475403	1.690465777455782e-75
ENSG00000100084	-0.00033199320825943665	2.049644691447836e-75
ENSG00000172197	-0.00021157563910841575	2.226037727021817e-75
ENSG00000007264	0.00021511079609319822	2.3257361279091816e-75
ENSG00000182957	0.0001765364966202299	2.4645730061475447e-75
ENSG00000138604	-0.00036574959584274554	2.9787641326378906e-75
ENSG00000114062	-0.00012858258386318452	3.411191863340681e-75
